色,上の句,下の句,上の句読み,下の句読み,決まり字（競技かるた）,決まり字（五色百人一首）
緑,安[やす]らはで寝[ね]なましものをさ夜[よ]更[ふ]けて,かたぶくまでの月[つき]を見[み]しかな,やすらはで ねなましものを さよふけて,かたぶくまでの つきをみしかな,やすら,や
緑,夕[ゆふ]されば門田[かどた]のいなばおとづれて,蘆[あし]のまろやに秋風[あきかぜ]ぞふく,ゆふされば かどたのいなば おとづれて,あしのまろやに あきかぜぞふく,ゆう,ゆ
緑,世[よ]の中[なか]は常[つね]にもがもな渚[なぎさ]漕[こ]ぐ,あまの小舟[をぶね]の綱手[つなで]悲[かな]しも,よのなかは つねにもがもな なぎさこぐ,あまのをぶねの つなでかなしも,よのなかは,よ
緑,わが庵[いほ]は都[みやこ]のたつみ鹿[しか]ぞ住[す]む,世[よ]をうぢ山[やま]と人[ひと]はいふなり,わがいほは みやこのたつみ しかぞすむ,よをうぢやまと ひとはいふなり,わがい,わがい
緑,わが袖[そで]は潮干[しほひ]に見[み]えぬ沖[おき]の石[いし]の,人[ひと]こそ知[し]らねかわく間[ま]もなし,わがそでは しほひにみえぬ おきのいしの,ひとこそしらね かわくまもなし,わがそ,わがそ
緑,忘[わす]らるる身[み]をば思[おも]はずちかひてし,人[ひと]の命[いのち]の惜[を]しくもあるかな,わすらるる みをばおもはず ちかひてし,ひとのいのちの をしくもあるかな,わすら,わすら
緑,忘[わす]れじの行[ゆ]く末[すゑ]まではかたければ,今日[けふ]かぎりの命[いのち]ともがな,わすれじの ゆくすゑまでは かたければ,けふかぎりの いのちともがな,わすれ,わすれ
緑,和田[わた]の原[はら]八十島[やそしま]かけて漕[こ]ぎ出[い]でぬと,人[ひと]には告[つ]げよあまの釣舟[つりぶね],わたのはら やそしまかけて こぎいでぬと,ひとにはつげよ あまのつりぶね,わたのはらや,わた
緑,侘[わ]びぬれば今[いま]はた同[おな]じ難波[なには]なる,みをつくしても逢[あ]はむとぞ思[おも]ふ,わびぬれば いまはたおなじ なにはなる,みをつくしても あはむとぞおもふ,わび,わび
オレンジ,逢[あ]ひ見[み]ての後[のち]の心[こころ]にくらぶれば,昔[むかし]は物[もの]を思[おも]はざりけり,あひみての のちのこころに くらぶれば,むかしはものを おもはざりけり,あい,あい
オレンジ,明[あ]けぬれば暮[く]るるものとは知[し]りながら,なほ恨[うら]めしき朝[あさ]ぼらけかな,あけぬれば くるるものとは しりながら,なほうらめしき あさぼらけかな,あけ,あけ
オレンジ,朝[あさ]ぼらけ宇治[うぢ]の川霧[かはぎり]絶[た]え絶[だ]えに,あらはれ渡[わた]る瀬々[せぜ]のあじろぎ,あさぼらけ うぢのかはぎり たえだえに,あらはれわたる せぜのあじろぎ,あさぼらけう,あさ
オレンジ,あらざらむこの世[よ]の外[ほか]の思[おも]ひ出[で]に,今[いま]一度[ひとたび]の逢[あ]ふ事[こと]もがな,あらざらむ このよのほかの おもひでに,いまひとたびの あふこともがな,あらざ,あら
オレンジ,哀[あは]れともいふべき人[ひと]は思[おも]ほえで,身[み]のいたづらになりぬべきかな,あはれとも いふべきひとは おもほえで,みのいたづらに なりぬべきかな,あわれ,あわ
オレンジ,今[いま]来[こ]むといひしばかりに⾧月[ながつき]の,有明[ありあけ]の月[つき]を待[ま]ち出[い]でつるかな,いまこむと いひしばかりに ながつきの,ありあけのつきを まちいでつるかな,いまこ,いまこ
オレンジ,今[いま]はただ思[おも]ひ絶[た]えなむとばかりを,人[ひと]づてならでいふよしもがな,いまはただ おもひたえなむ とばかりを,ひとづてならで いふよしもがな,いまは,いまは
オレンジ,おほけなく浮世[うきよ]の民[たみ]におほふかな,わがたつ杣[そま]に墨染[すみぞめ]の袖[そで],おほけなく うきよのたみに おほふかな,わがたつそまに すみぞめのそで,おほけ,おほけ
オレンジ,逢[あ]ふ事[こと]の絶[た]えてしなくばなかなかに,人[ひと]をも身[み]をも恨[うら]みざらまし,あふことの たえてしなくば なかなかに,ひとをもみをも うらみざらまし,おふこ,おふこ
オレンジ,風[かぜ]そよぐ奈良[なら]の小川[をがは]の夕暮[ゆふぐれ]は,みそぎぞ夏[なつ]のしるしなりける,かぜそよぐ ならのをがはの ゆふぐれは,みそぎぞなつの しるしなりける,かぜそ,か
オレンジ,瀬[せ]を早[はや]み岩[いは]にせかるる滝川[たきがは]の,われても末[すゑ]に逢[あ]はむとぞ思[おも]ふ,せをはやみ いはにせかるる たきがはの,われてもすゑに あはむとぞおもふ,せ,せ
オレンジ,なげきつつ独[ひと]り寝[ね]る夜[よ]の明[あ]くる間[ま]は,いかに久[ひさ]しきものとかは知[し]る,なげきつつ ひとりぬるよの あくるまは,いかにひさしき ものとかはしる,なげき,なげ
オレンジ,名[な]にしおはば逢坂山[あふさかやま]のさなかづら,人[ひと]に知[し]られでくるよしもがな,なにしおはば あふさかやまの さなかづら,ひとにしられで くるよしもがな,なにし,なにし
オレンジ,難波江[なにはえ]の蘆[あし]のかり寝[ね]のひと夜[よ]ゆゑ,身[み]を尽[つ]くしてや恋[こ]ひわたるべき,なにはえの あしのかりねの ひとよゆゑ,みをつくしてや こひわたるべき,なにわえ,なにわえ
オレンジ,難波[なには]がた短[みじか]き蘆[あし]のふしの間[ま]も,逢[あ]はでこの世[よ]をすぐしてよとや,なにはがた みじかきあしの ふしのまも,あはでこのよを すぐしてよとや,なにわが,なにわが
オレンジ,春[はる]の夜[よ]の夢[ゆめ]ばかりなる手枕[たまくら]に,かひなく立[た]たむ名[な]こそ惜[を]しけれ,はるのよの ゆめばかりなる たまくらに,かひなくたたむ なこそをしけれ,はるの,は
オレンジ,人[ひと]も惜[を]し人[ひと]も恨[うら]めし味気[あぢき]なく,世[よ]を思[おも]ふ故[ゆゑ]に物[もの]思[おも]ふ身[み]は,ひともをし ひともうらめし あぢきなく,よをおもふゆゑに ものおもふみは,ひとも,ひ
オレンジ,御垣守[みかきもり]衛士[ゑじ]のたく火[ひ]の夜[よる]は燃[も]え,昼[ひる]は消[き]えつつ物[もの]をこそ思[おも]へ,みかきもり ゑじのたくひの よるはもえ,ひるはきえつつ ものをこそおもへ,みかき,みかき
オレンジ,みかの原[はら]わきて流[なが]るる泉川[いづみがは],いつみきとてか恋[こひ]しかるらむ,みかのはら わきてながるる いづみがは,いつみきとてか こひしかるらむ,みかの,みかの
オレンジ,見[み]せばやな雄島[をじま]のあまの袖[そで]だにも,ぬれにぞぬれし色[いろ]は変[か]はらず,みせばやな をじまのあまの そでだにも,ぬれにぞぬれし いろはかはらず,みせ,みせ
